no Auto75 Auto85
1   17.74  24.57
2   12.17  24.79
3   12.22  22.21
4   13.89  25.84
5   16.47  25.35
6   15.88  22.19
7   16.10  24.37
8   16.74  21.32
9   17.54  22.74
10  17.43  23.38
11  14.57  25.10
12  12.90  28.03
13  12.81  29.09
14  14.95  29.34
15  16.25  24.41
16  17.13  25.12
17  14.46  25.27
18  14.20  27.46
19  16.90  27.65
20  11.34  27.95
21  12.57  21.67
22  13.15  22.15
23  16.53  24.36
24  13.60  26.32
25  13.34  24.05
26  13.67  28.27
27  14.23  26.57
28  15.81  26.10
29  16.63  24.35
30  11.40  30.04
31  14.94  25.18
32  13.66  27.42
33   9.79  24.50
34  13.08  23.21
35  14.57  25.10
36  14.93  23.59
37  14.01  26.98
38  14.43  22.64
39  16.35  25.27
40  15.65  25.84
41  11.52  27.18
42  17.46  24.69
43  14.67  26.35
44  15.92  23.05
45  16.02  23.37
46  13.46  25.46
47  13.70  28.84
48  14.98  22.14
49  14.57  25.42
50  15.72  21.76
