obs Poison Treatment Group survTime 
  1      I         A     1     0.31
  2      I         A     1     0.45
  3      I         A     1     0.46
  4      I         A     1     0.43
  5     II         A     2     0.36
  6     II         A     2     0.29
  7     II         A     2     0.40
  8     II         A     2     0.23
  9    III         A     3     0.22
 10    III         A     3     0.21
 11    III         A     3     0.18
 12    III         A     3     0.23
 13      I         B     4     0.82
 14      I         B     4     1.10
 15      I         B     4     0.88
 16      I         B     4     0.72
 17     II         B     5     0.92
 18     II         B     5     0.61
 19     II         B     5     0.49
 20     II         B     5     1.24
 21    III         B     6     0.30
 22    III         B     6     0.37
 23    III         B     6     0.38
 24    III         B     6     0.29
 25      I         C     7     0.43
 26      I         C     7     0.45
 27      I         C     7     0.63
 28      I         C     7     0.76
 29     II         C     8     0.44
 30     II         C     8     0.35
 31     II         C     8     0.31
 32     II         C     8     0.40
 33    III         C     9     0.23
 34    III         C     9     0.25
 35    III         C     9     0.24
 36    III         C     9     0.22
 37      I         D    10     0.45
 38      I         D    10     0.71
 39      I         D    10     0.66
 40      I         D    10     0.62
 41     II         D    11     0.56
 42     II         D    11     1.02
 43     II         D    11     0.71
 44     II         D    11     0.38
 45    III         D    12     0.30
 46    III         D    12     0.36
 47    III         D    12     0.31
 48    III         D    12     0.33
