obs Nov2 Nov3 Nov4 Nov5 Nov6 Nov7 Nov8
  1    9   11   12    5    6    8    6
  2   10   11   13    6    7    7    5
  3    9   11   13    4    8    7    6
  4    8   10   13    5    8    7    6
  5    9   11   13    4    8    8    5
  6    8   12   13    4    7    8    4
  7    8   13   10    2    9    8    3
  8    8   12    8    4   10    8    4
  9    7   13    9    5    9    7    5
 10    6   12    8    4   10    6    5
 11    9   14    6    5    9    5    6
 12   10   15    7    6    8    6    5
 13   11   14    7    5    9    5    6
 14    9   12    6    5    8    6    7
 15   10   13    5    6    7    7    6
 16   11   13    6    5    7    6    5
