run   x11 x22 x33 x44 x55 x66 x77 x88 x99 x1010 x1111 x1212 x1313
  1     1   1   1   1   1   1   1   1   1     1     1     1     1
  2     1   1   1   1  -2  -2  -2  -2  -2    -2    -2    -2    -2
  3     1   1   1   1   1   1   1   1   1     1     1     1     1
  4     1  -2  -2  -2   1   1   1  -2  -2    -2     1     1     1
  5     1  -2  -2  -2  -2  -2  -2   1   1     1     1     1     1
  6     1  -2  -2  -2   1   1   1   1   1     1    -2    -2    -2
  7     1   1   1   1   1   1   1   1   1     1    -2    -2    -2
  8     1   1   1   1  -2  -2  -2   1   1     1     1     1     1
  9     1   1   1   1   1   1   1  -2  -2    -2     1     1     1
 10    -2   1  -2   1   1  -2   1   1  -2     1     1    -2     1
 11    -2   1  -2   1  -2   1   1  -2   1     1    -2     1     1
 12    -2   1  -2   1   1   1  -2   1   1    -2     1     1    -2
 13    -2  -2   1   1   1  -2   1  -2   1     1     1     1    -2
 14    -2  -2   1   1  -2   1   1   1   1    -2     1    -2     1
 15    -2  -2   1   1   1   1  -2   1  -2     1    -2     1     1
 16    -2   1   1  -2   1  -2   1   1   1    -2    -2     1     1
 17    -2   1   1  -2  -2   1   1   1  -2     1     1     1    -2
 18    -2   1   1  -2   1   1  -2  -2   1     1     1    -2     1
 19     1   1   1  -2   1   1  -2   1   1    -2     1     1    -2
 20     1   1   1  -2  -2   1   1  -2   1     1    -2     1     1
 21     1   1   1  -2   1  -2   1   1  -2     1     1    -2     1
 22     1  -2   1   1   1   1  -2  -2   1     1     1    -2     1
 23     1  -2   1   1  -2   1   1   1  -2     1     1     1    -2
 24     1  -2   1   1   1  -2   1   1   1    -2    -2     1     1
 25     1   1  -2   1   1   1  -2   1  -2     1    -2     1     1
 26     1   1  -2   1  -2   1   1   1   1    -2     1    -2     1
 27     1   1  -2   1   1  -2   1  -2   1     1     1     1    -2
