time thickness
   1        80
   2        92
   3       100
   4        61
   5        93
   6        85
   7        92
   8        86
   9        77
  10        82
  11        85
  12       102
  13        93
  14        90
  15        94
  16        75
  17        75
  18        72
  19        76
  20        75
  21        93
  22        94
  23        83
  24        82
  25        82
  26        71
  27        82
  28        78
  29        71
  30        81
  31        88
  32        80
  33        88
  34        85
  35        76
  36        75
  37        88
  38        86
  39        89
  40        85
  41        89
  42       100
  43       100
  44       106
  45        92
  46       117
  47       100
  48       100
  49       106
  50       109
  51        91
  52       112
  53       127
  54        96
  55       127
  56        96
  57        90
  58       107
  59       103
  60       104
  61        97
  62       108
  63       127
  64       110
  65        90
  66       121
  67       109
  68       120
  69       109
  70       134
  71       108
  72       117
  73       137
  74       123
  75       108
  76       128
  77       110
  78       114
  79       101
  80       100
  81       115
  82       124
  83       120
  84       122
  85       123
  86       130
  87       109
  88       111
  89        98
  90       116
  91       109
  92       113
  93        97
  94       127
  95       114
  96       111
  97       130
  98        92
  99       115
 100       120
