run variant result
  1       C     56
  2       B     60
  3       D     69
  4       A     61
  5       B     62
  6       D     70
  7       A     65
  8       C     65
  9       D     66
 10       A     63
 11       B     52
 12       C     57
 13       A     58
 14       D     60
 15       C     61
 16       B     66
 17       A     56
 18       D     61
 19       B     53
 20       C     52
 21       D     62
 22       C     57
 23       A     59
 24       B     58
 25       B     60
 26       D     68
 27       C     61
 28       A     65
 29       C     63
 30       D     68
 31       A     61
 32       B     55
