run batch sample test  y
  1     1      1    1 40
  3     1      1    2 39
  2     1      2    1 30
  4     1      2    2 30
  5     2      3    1 26
  7     2      3    2 28
  6     2      4    1 25
  8     2      4    2 26
  9     3      5    1 29
 11     3      5    2 28
 10     3      6    1 14
 12     3      6    2 15
 13     4      7    1 30
 15     4      7    2 31
 14     4      8    1 24
 16     4      8    2 24
 17     5      9    1 19
 19     5      9    2 20
 18     5     10    1 17
 20     5     10    2 17
 21     6     11    1 33
 23     6     11    2 32
 22     6     12    1 26
 24     6     12    2 24
 25     7     13    1 23
 27     7     13    2 24
 26     7     14    1 32
 28     7     14    2 33
 29     8     15    1 34
 31     8     15    2 34
 30     8     16    1 29
 32     8     16    2 29
 33     9     17    1 27
 35     9     17    2 27
 34     9     18    1 31
 36     9     18    2 31
 37    10     19    1 13
 39    10     19    2 16
 38    10     20    1 27
 40    10     20    2 24
 41    11     21    1 25
 43    11     21    2 23
 42    11     22    1 25
 44    11     22    2 27
 45    12     23    1 29
 47    12     23    2 29
 46    12     24    1 31
 48    12     24    2 32
 49    13     25    1 19
 51    13     25    2 20
 50    13     26    1 29
 52    13     26    2 30
 53    14     27    1 23
 55    14     27    2 23
 54    14     28    1 25
 56    14     28    2 25
 57    15     29    1 39
 59    15     29    2 37
 58    15     30    1 26
 60    15     30    2 28
