setup height generator pressure before after time day
    1     -1        -1       -1     76   135   51   3
    2     -1        -1       -1     76   133   54   4
    3      1        -1       -1     76   132   41   2
    4      1        -1       -1     79   137   43   2
    5     -1         1       -1     77   134   54   3
    6     -1         1       -1     77   133   60   2
    7      1         1       -1     76   130   44   3
    8      1         1       -1     79   139   43   4
    9     -1        -1        1     76   105   50   1
   10     -1        -1        1     80   144   48   4
   11      1        -1        1     77   139   39   3
   12      1        -1        1     78   139   39   4
   13     -1         1        1     78   137   53   3
   14     -1         1        1     79   125   51   1
   15      1         1        1     80   122   41   1
   16      1         1        1     77   133   44   2
