method lab numDead perDead Score
     A   1       8      40    43
     A   2       7      35    40
     A   3       1       5    14
     A   4      16      80    71
     A   5      10      50    50
     A   6      19      95    86
     A   7       9      45    47
     B   1      12      60    57
     B   2       6      30    37
     B   3       3      15    25
     B   4      19      95    86
     B   5      15      75    67
     B   6      20     100   100
     B   7      11      55    53
